topic_id,question_id,question_text,option_1,option_2,option_3,option_4,option_5,correct_answer,explanation
quality,QUA048,A pharmacist is compounding a medication that requires accurate measurements. Which equipment is essential for ensuring quality?,Using household measuring spoons,Estimating quantities by eye,Using calibrated and appropriate measuring devices,Using uncalibrated equipment,Substituting ingredients without verification,Using calibrated and appropriate measuring devices,Accurate measurements are critical in compounding to ensure correct dosing and efficacy; calibrated equipment ensures precision.
managing,MAN036,Why is it important to maintain accurate records of medicine disposal?,To comply with environmental regulations and prevent misuse,To increase sales figures,To reduce the workload of staff,To avoid ordering new stock,To share information with competitors,To comply with environmental regulations and prevent misuse,"Accurate records of medicine disposal are essential to demonstrate compliance with legal and environmental regulations, ensure accountability, and prevent misuse or diversion of pharmaceuticals."
cardiovascular,CVS016,Which antihypertensive medication is contraindicated in pregnancy due to the risk of fetal renal dysplasia?,Methyldopa,Labetalol,ACE inhibitors,Nifedipine,Hydralazine,ACE inhibitors,ACE inhibitors are contraindicated in pregnancy as they can cause fetal renal dysplasia and other congenital malformations.
cardiovascular,CVS051,Which class of antihypertensive drugs is most effective in reducing central aortic pressure?,ACE inhibitors,Beta-blockers,Calcium channel blockers,Thiazide diuretics,Alpha-blockers,ACE inhibitors,ACE inhibitors are effective in reducing central aortic pressure through vasodilation and decreasing angiotensin II-mediated vasoconstriction.
cardiovascular,CVS085,Which heart failure medication class reduces mortality by blocking the renin-angiotensin-aldosterone system and has diuretic effects?,Beta-blockers,ACE inhibitors,Calcium channel blockers,Digoxin,Amiodarone,ACE inhibitors,"ACE inhibitors block the renin-angiotensin-aldosterone system, reducing afterload and preload, and have diuretic effects, thereby reducing mortality in heart failure patients."
adverse,ADV046,Which of the following adverse effects is commonly associated with ACE inhibitors?,Hyperuricemia,Hypernatremia,Hypokalemia,Dry cough,Hypotrichosis,Dry cough,"ACE inhibitors can cause a persistent dry cough due to accumulation of bradykinin and substance P. If troublesome, switching to an ARB may be considered."
population,POP084,An elderly patient is prescribed an ACE inhibitor. Which adverse effect is more common in geriatric patients?,Hypokalemia,Dry cough,Hyperglycemia,Tachycardia,Weight gain,Dry cough,"ACE inhibitors can cause a persistent dry cough due to increased bradykinin levels, and this side effect may be more bothersome in the elderly."
adverse,ADV125,A patient experiences severe hypotension after starting captopril. What is the most likely cause?,Allergic reaction,First-dose hypotension due to ACE inhibitors,Overdose of captopril,Drug interaction with NSAIDs,Renal artery stenosis,First-dose hypotension due to ACE inhibitors,"ACE inhibitors can cause significant hypotension after the first dose, especially in patients with high plasma renin activity. Starting at a low dose can minimize this risk."
special,SP016,What is a common side effect of ACE inhibitors in elderly patients that requires monitoring?,Hypotension,Gastrointestinal bleeding,Cough,Dry mouth,Increased heart rate,Hypotension,"ACE inhibitors can cause significant hypotension in elderly patients, especially with initiation, so close monitoring is necessary, particularly for those with existing renal impairment."
information,INF020,"According to the BNF, which electrolyte imbalance is a contraindication for starting an ACE inhibitor?",Hyperkalemia,Hypocalcemia,Hyponatremia,Hypokalemia,Hypernatremia,Hyperkalemia,"ACE inhibitors can increase potassium levels; initiating therapy in patients with hyperkalemia can exacerbate this risk, making it a contraindication."
special,SP061,A 60-year-old patient with hypertension is prescribed an ACE inhibitor. Which side effect should be closely monitored in this population?,Hypoglycemia,Cough,Bradycardia,Weight gain,Diarrhea,Cough,"ACE inhibitors commonly cause a persistent cough in older patients, due to increased bradykinin levels. Switching to an ARB is recommended if the cough persists."
cardiovascular,CVS001,A 60-year-old patient with hypertension is prescribed an ACE inhibitor. Which of the following is a common side effect associated with this class of drugs?,Hypokalemia,Cough,Hyperglycemia,Bradycardia,Hypomagnesemia,Cough,ACE inhibitors commonly cause a persistent dry cough due to the accumulation of bradykinin. This side effect often leads to discontinuation of the medication.
cardiovascular,CVS106,Which heart failure medication class reduces mortality by inhibiting the renin-angiotensin-aldosterone system and also has diuretic properties?,Beta-blockers,ACE inhibitors,Calcium channel blockers,Diuretics,Alpha-blockers,ACE inhibitors,"ACE inhibitors inhibit the renin-angiotensin-aldosterone system, reducing afterload and preload, and have diuretic properties that help improve survival in heart failure patients."
adverse,ADV100,Which of the following is a known teratogenic medication that should be avoided during pregnancy?,Levothyroxine,Paracetamol,Lisinopril,Folic acid,Insulin,Lisinopril,"ACE inhibitors like lisinopril are teratogenic, especially in the second and third trimesters, causing fetal renal impairment and other malformations. Alternative antihypertensives should be used during pregnancy."
adverse,ADV019,Which medication is MOST associated with causing angioedema as an adverse effect?,Amlodipine,Losartan,Lisinopril,Atenolol,Doxazosin,Lisinopril,"ACE inhibitors like lisinopril can cause angioedema, a serious adverse effect involving swelling of deeper skin layers, often around the eyes and lips. This can be life-threatening if it involves the airway."
special,SP027,Which medication used to manage hypertension may cause hyperkalemia in patients with renal impairment?,Amlodipine,Lisinopril,Atenolol,Metoprolol,Furosemide,Lisinopril,"ACE inhibitors like lisinopril can lead to hyperkalemia due to decreased renal excretion of potassium, which can be problematic in patients with renal impairment."
adverse,ADV152,Which medication is associated with causing a cough and angioedema due to increased bradykinin levels?,Losartan,Amlodipine,Lisinopril,Atenolol,Hydrochlorothiazide,Lisinopril,"ACE inhibitors like lisinopril prevent bradykinin breakdown, leading to side effects like dry cough and angioedema."
cardiovascular,CVS045,Which heart failure medication class can cause a dry cough as a side effect due to bradykinin accumulation?,Beta-blockers,ACE inhibitors,Calcium channel blockers,Diuretics,Beta-agonists,ACE inhibitors,"ACE inhibitors prevent the breakdown of bradykinin, leading to its accumulation and causing a persistent dry cough in some patients."
pharmacology,PHA022,Which mechanism of action is responsible for the antihypertensive effect of ACE inhibitors?,Blockade of beta-adrenergic receptors,Inhibition of angiotensin-converting enzyme,Antagonism of calcium channels,Agonism of alpha-2 receptors,Increase in aldosterone secretion,Inhibition of angiotensin-converting enzyme,"ACE inhibitors prevent the conversion of angiotensin I to angiotensin II, a potent vasoconstrictor, leading to vasodilation and reduced blood pressure. They also decrease aldosterone secretion, reducing sodium and water retention."
pharmacology,PHA023,Which mechanism is responsible for how ACE inhibitors reduce blood pressure?,Increasing blood volume,Blocking renin release,Inhibiting conversion of angiotensin I to II,Increasing sodium retention,Reducing aldosterone,Inhibiting conversion of angiotensin I to II,"ACE inhibitors prevent the formation of angiotensin II, a vasoconstrictor, thereby reducing blood pressure and alleviating cardiac workload."
cardiovascular_2,CVD055,A patient with diabetes and hypertension is prescribed an ACE inhibitor. What is the primary benefit of ACE inhibitors in this population?,Lower blood sugar,Weight loss,Renal protection,Increased heart rate,Decreased potassium levels,Renal protection,ACE inhibitors provide renal protection in patients with diabetes by reducing intraglomerular pressure.
cardiovascular,CVS009,Which antihypertensive class is particularly beneficial in diabetic patients due to its renal protective effects?,Beta-blockers,Calcium channel blockers,ACE inhibitors,Diuretics,Alpha-blockers,ACE inhibitors,"ACE inhibitors provide renal protective effects by reducing intraglomerular pressure, making them particularly beneficial for hypertensive patients with diabetes."
cardiovascular,CVS006,A patient with heart failure is prescribed an ACE inhibitor. What is the primary mechanism by which ACE inhibitors benefit heart failure patients?,Increase heart rate,Decrease afterload,Increase myocardial contractility,Reduce blood volume,Promote diuresis,Decrease afterload,"ACE inhibitors reduce afterload by vasodilation, which decreases the workload on the heart and improves cardiac output in heart failure patients."
cardiovascular,CVS029,Which class of antihypertensive agents can cause hyperkalemia as a side effect?,Beta-blockers,ACE inhibitors,Calcium channel blockers,Thiazide diuretics,Alpha-blockers,ACE inhibitors,"ACE inhibitors reduce aldosterone secretion, leading to potassium retention and potential hyperkalemia."
lithium,LIT022,What is a serious risk of combining lithium with ACE inhibitors?,Hyperkalemia,Hypotension,Lithium toxicity,Lithium resistance,Hypertension,Lithium toxicity,"ACE inhibitors reduce lithium clearance by the kidneys, increasing the risk of toxicity."
analgesics,ANA052,A patient reports allergic reactions to aspirin. Which alternative analgesic can be safely recommended?,Ibuprofen,Celecoxib,Acetaminophen,Naproxen,All of the above,Acetaminophen,Acetaminophen can be safely used as an alternative analgesic for patients with an aspirin allergy.
analgesics,ANA136,A patient requires pain management and has a history of addiction. Which of the following medications is the best option?,Morphine,Codeine,Tramadol,Acetaminophen,Naproxen,Acetaminophen,Acetaminophen is a non-opioid analgesic and is suitable for patients with a history of addiction.
analgesics,ANA090,A patient requires a pain management regimen that avoids NSAIDs due to gastrointestinal issues. What is the best alternative?,Morphine,Acetaminophen,Ibuprofen,Aspirin,Mefenamic acid,Acetaminophen,Acetaminophen is a suitable alternative for pain management in patients who cannot tolerate NSAIDs due to gastrointestinal concerns.
analgesics,ANA141,Which of the following is an appropriate use for acetaminophen?,Chronic pain management,Severe migraine treatment,Mild to moderate pain relief,Inflammation reduction,All of the above,Mild to moderate pain relief,Acetaminophen is appropriate for mild to moderate pain relief and is not indicated for inflammation.
face,EYR056,Which medication can be used to relieve ear pain associated with otitis media?,Acetaminophen,Antibiotics,Antihistamines,Topical anesthetics,Acetaminophen,Acetaminophen,Acetaminophen is commonly used to relieve pain associated with otitis media.
analgesics,ANA120,Which analgesic is considered a safe choice for use during pregnancy for pain management?,Ibuprofen,Naproxen,Aspirin,Acetaminophen,Celecoxib,Acetaminophen,Acetaminophen is considered safe for use during pregnancy for managing pain and fever.
analgesics,ANA081,A patient is prescribed acetaminophen for fever. Which of the following is true about acetaminophen?,It is an anti-inflammatory medication,It can cause gastrointestinal bleeding,It is safe in pregnancy,It is a non-opioid analgesic with sedative properties,It requires monitoring of liver function tests,It is safe in pregnancy,Acetaminophen is considered safe for use in pregnancy for pain and fever management.
pain,PAN016,What is a primary benefit of using acetaminophen for pain relief?,Anti-inflammatory properties,Less gastrointestinal irritation,Increases heart rate,None of the above,Less gastrointestinal irritation,Less gastrointestinal irritation,Acetaminophen is generally better tolerated in terms of gastrointestinal side effects compared to NSAIDs.
pain,PAI064,A patient with osteoarthritis is advised to take acetaminophen. Why is acetaminophen preferred over NSAIDs in certain patients?,Longer duration of action,Anti-inflammatory properties,Lower risk of gastrointestinal side effects,Stronger analgesic effect,Ability to reduce joint stiffness,Lower risk of gastrointestinal side effects,"Acetaminophen is less likely to cause gastrointestinal side effects, making it a safer choice for long-term use in patients with osteoarthritis who are at risk for GI issues."
pain,PAI010,A patient with osteoarthritis requests pain relief for chronic joint pain. Which of the following is commonly used as a first-line pharmacological treatment?,Acetaminophen,Gabapentin,Fentanyl patches,Tramadol,Ibuprofen,Acetaminophen,Acetaminophen is often recommended as a first-line treatment for osteoarthritis due to its safety profile and effectiveness in relieving mild to moderate pain.
analgesics,ANA074,A patient with a history of peptic ulcer disease requires analgesic therapy. Which medication is most appropriate?,Aspirin,Ibuprofen,Acetaminophen,Naproxen,Diclofenac,Acetaminophen,Acetaminophen is often recommended for patients with a history of peptic ulcer disease as it does not cause gastrointestinal irritation.
analgesics,ANA047,A patient with a history of myocardial infarction requires pain management. Which analgesic is the safest option?,Aspirin,Ibuprofen,Naproxen,Acetaminophen,Diclofenac,Acetaminophen,"Acetaminophen is safe for patients with a history of myocardial infarction, as it does not increase the risk of cardiovascular events."
analgesics,ANA018,A patient with a recent history of myocardial infarction is advised to avoid NSAIDs. Which of the following medications is safe for this patient?,Aspirin,Ibuprofen,Celecoxib,Acetaminophen,Naproxen,Acetaminophen,Acetaminophen is safe for use in patients with a history of myocardial infarction as it does not have the cardiovascular risks associated with NSAIDs.
analgesics,ANA103,A patient presents with fever and muscle pain. What is the first-line treatment option?,Acetaminophen,Naproxen,Aspirin,Diclofenac,Morphine,Acetaminophen,Acetaminophen is the first-line treatment for reducing fever and relieving mild to moderate pain.
analgesics,ANA106,What is the mechanism of action for acetaminophen?,Inhibits COX-1 and COX-2,Inhibits cyclooxygenase enzymes selectively,Reduces prostaglandin synthesis in the central nervous system,Activates opioid receptors,Inhibits serotonin reuptake,Reduces prostaglandin synthesis in the central nervous system,Acetaminophen primarily works in the central nervous system to reduce pain and fever by inhibiting the synthesis of prostaglandins.
diuretics,DUI037,What is a potential adverse effect of acetazolamide?,Metabolic alkalosis,Acute renal failure,Dehydration,Metabolic acidosis,None of the above,Metabolic acidosis,Acetazolamide can lead to metabolic acidosis due to bicarbonate loss in the urine.
diuretics,DUI080,What effect does acetazolamide have on the kidneys?,Increases bicarbonate reabsorption,Decreases bicarbonate reabsorption,Increases sodium reabsorption,Decreases sodium excretion,None of the above,Decreases bicarbonate reabsorption,"Acetazolamide decreases bicarbonate reabsorption in the proximal tubule, leading to increased bicarbonate in the urine."
diuretics,DUI010,Which of the following diuretics is often used to manage glaucoma?,Bumetanide,Acetazolamide,Spironolactone,Hydrochlorothiazide,None of the above,Acetazolamide,"Acetazolamide, a carbonic anhydrase inhibitor, is often used to decrease intraocular pressure in patients with glaucoma."
toxicology,TOX013,A patient presents with a fruity odor on the breath and altered mental status. Which substance is likely responsible for these symptoms?,Ethanol,Methanol,Isopropyl alcohol,Acetone,Benzene,Acetone,"Acetone, which can be produced in ketoacidosis or from certain ingestions, is associated with a fruity odor and altered mental status."
infectious,INF117,A 30-year-old presents with a chronic productive cough and weight loss. A sputum culture confirms acid-fast bacilli. Which infection is indicated?,Streptococcus pneumoniae,Mycoplasma pneumoniae,Legionella pneumophila,Mycobacterium tuberculosis,Haemophilus influenzae,Mycobacterium tuberculosis,"Acid-fast bacilli in sputum are indicative of tuberculosis, particularly in patients with chronic cough and weight loss."
patient,PAT054,A patient is starting a beta-blocker and is concerned about potential side effects like fatigue. What advice should you provide?,Fatigue is not associated with beta-blockers,Reassure them that side effects often diminish over time and discuss ways to manage them,Advise them to stop the medication if fatigue occurs,Ignore their concerns,Recommend increasing caffeine intake,Reassure them that side effects often diminish over time and discuss ways to manage them,"Acknowledging the concern and explaining that fatigue may improve as their body adjusts helps the patient anticipate and cope with side effects, supporting adherence."
ethics,ETH032,A pharmacist accidentally breaches patient confidentiality by discussing their medication within earshot of others. What is the MOST ethical response?,Pretend it didn't happen,Apologize to the patient and take steps to prevent future breaches,Blame the patient for not being discreet,Inform management and leave it at that,Dismiss it as unimportant,Apologize to the patient and take steps to prevent future breaches,"Acknowledging the error, apologizing, and implementing measures to prevent recurrence demonstrates accountability and respect for patient privacy."
patient,PAT005,A patient is concerned about the side effects of their new medication. What is the MOST appropriate response?,Dismiss their concerns as rare occurrences,Provide reassurance and discuss common side effects and how to manage them,Advise them to stop the medication if they experience any discomfort,Tell them not to worry because the doctor prescribed it,Provide them with a detailed list of all possible side effects without explanation,Provide reassurance and discuss common side effects and how to manage them,Acknowledging the patient's concerns and providing clear information about common side effects empowers them to manage their therapy effectively and encourages adherence.
patient,PAT039,"When a patient expresses frustration about their chronic condition, what is the BEST response?",You should be grateful it's not worse.',I understand this can be challenging; let's discuss how we can manage it together.',Ignore their frustration and focus on medication instructions.',Tell them to follow the treatment plan without complaint.',Change the subject to something more positive.',I understand this can be challenging; let's discuss how we can manage it together.',Acknowledging the patient's feelings and offering support fosters a therapeutic relationship and encourages active participation in their care.
patient,PAT089,"When a patient mentions using complementary therapies, how should you respond?",Discourage all complementary therapies,Tell them it's ineffective,Express interest and discuss any potential interactions or contraindications,Ignore the information,Advise them to stop immediately,Express interest and discuss any potential interactions or contraindications,Acknowledging their use of complementary therapies and assessing for interactions ensures safe and coordinated care while respecting the patient's preferences.
hormonal,HOR058,What is a common side effect of testosterone therapy?,Weight loss,Hair loss,Acne,Constipation,Increased appetite,Acne,Acne is a common side effect of testosterone therapy due to increased sebaceous gland activity.
endocrine,END012,"Which growth hormone disorder in adults leads to acromegaly, characterized by enlargement of the hands, feet, and facial features?",Gigantism,Dwarfism,Acromegaly,Turner syndrome,Klinefelter syndrome,Acromegaly,Acromegaly
endocrine,END064,"Which growth hormone disorder in adults is characterized by enlargement of bones and soft tissues, particularly in the hands, feet, and face?",Gigantism,Dwarfism,Acromegaly,Turner syndrome,Klinefelter syndrome,Acromegaly,"Acromegaly,""Acromegaly in adults is characterized by the enlargement of bones and soft tissues, particularly in the hands, feet, and face, due to excessive growth hormone secretion after the closure of growth plates."
endocrine,END037,Which growth disorder in adults is caused by excessive growth hormone secretion and leads to acromegaly?,Gigantism,Dwarfism,Acromegaly,Turner syndrome,Klinefelter syndrome,Acromegaly,"Acromegaly,""Acromegaly is caused by excessive growth hormone secretion in adults after the closure of epiphyseal growth plates, leading to enlargement of bones in the hands, feet, and face, as well as soft tissue swelling."
endocrine,END018,"Which pituitary hormone deficiency leads to decreased secretion of ACTH, resulting in adrenal insufficiency?",Growth hormone deficiency,Prolactin deficiency,TSH deficiency,ACTH deficiency,GnRH deficiency,ACTH deficiency,ACTH deficiency
endocrine,END055,Which pituitary hormone stimulates the adrenal cortex to produce cortisol?,Growth hormone,Prolactin,TSH,ACTH,LH,ACTH,"ACTH,""Adrenocorticotropic hormone (ACTH) is produced by the anterior pituitary gland and stimulates the adrenal cortex to produce and release cortisol, a glucocorticoid involved in stress response, metabolism, and immune function."
endocrine,END076,Which pituitary hormone is responsible for stimulating the adrenal medulla to release catecholamines?,ACTH,GH,Prolactin,TSH,LH,ACTH,"ACTH,""Adrenocorticotropic hormone (ACTH) primarily stimulates the adrenal cortex to produce cortisol. However, catecholamines (adrenaline and noradrenaline) are released by the adrenal medulla in response to sympathetic stimulation, not directly by ACTH."
endocrine,END104,Which pituitary hormone stimulates the adrenal cortex to produce cortisol and androgens?,Growth hormone,Prolactin,ACTH,TSH,LH,ACTH,"ACTH,""Adrenocorticotropic hormone (ACTH) stimulates the adrenal cortex to produce cortisol and androgens, playing a critical role in the stress response, metabolism, and immune function."
ethics,ETH109,A pharmacist is asked to adjust a medication dosage beyond their scope of practice. What is the MOST ethical response?,Make the adjustment to help the patient,Refuse and explain it's beyond your professional scope,Ignore the request,Advise the patient to adjust it themselves,Guess the appropriate dose,Refuse and explain it's beyond your professional scope,Acting within professional competence ensures patient safety and legal compliance.
skin,SKN057,A 60-year-old with a history of sun exposure presents with a scaly lesion that does not heal. Which condition should be suspected?,Basal cell carcinoma,Actinic keratosis,Melanoma,Vitiligo,Eczema,Actinic keratosis,"Actinic keratosis appears as a persistent, scaly lesion on sun-exposed skin and is considered a precancerous condition."
skin,SKN017,"A 65-year-old patient with a history of sun exposure presents with a rough, scaly patch on their forehead. Which condition is most likely?",Melanoma,Actinic keratosis,Basal cell carcinoma,Psoriasis,Vitiligo,Actinic keratosis,"Actinic keratosis presents as rough, scaly patches on sun-exposed skin and is a precursor to squamous cell carcinoma."
toxicology,TOX084,"In cases of acetaminophen overdose, which of the following is true regarding the use of activated charcoal?",It is always indicated,It should be used within 1 hour of ingestion,It enhances the effect of acetaminophen,It is contraindicated in all cases,It should be given only if the patient is symptomatic,It should be used within 1 hour of ingestion,Activated charcoal can be used in acetaminophen overdose if administered within 1 hour to decrease absorption of the drug.
toxicology,TOX118,A child presents with severe gastrointestinal distress after ingesting a toxic plant. What is the first step in management?,Administer activated charcoal,Induce vomiting,Perform gastric lavage,Provide IV fluids,Monitor vital signs,Administer activated charcoal,"Activated charcoal may be indicated for certain toxic ingestions to reduce absorption, depending on the specific plant and timing of ingestion."
public,PUB082,Which of the following is an example of active immunity?,Administration of antitoxins,Placental transfer of antibodies,Breastfeeding,Immunization with vaccines,Receiving immunoglobulins,Immunization with vaccines,Active immunity involves the stimulation of the immune system to produce antibodies through vaccination or infection.
genitourinary,GEN035,A patient is being prepared for a kidney transplant. Which of the following is a major contraindication to kidney transplantation?,Diabetes,Obesity,Active infection,Hypertension,High cholesterol,Active infection,Active infection is a contraindication to kidney transplantation as it can increase the risk of complications and rejection post-surgery.
patient,PAT014,"In active listening, which of the following techniques is important?",Interrupting to offer advice,Nodding and maintaining eye contact,Preparing your response while the patient is speaking,Changing the subject to avoid discomfort,Using technical jargon,Nodding and maintaining eye contact,"Active listening involves paying full attention to the speaker, showing interest through non-verbal cues like nodding and eye contact, and refraining from interrupting, which helps build rapport and understanding."
pharmacology,PHA066,Which process can lead to increased drug excretion in urine?,Reabsorption in the renal tubules,Active secretion in the renal tubules,Metabolism to a more lipophilic form,Plasma protein binding,Enterohepatic recycling,Active secretion in the renal tubules,"Active secretion in the renal tubules moves drugs from the blood into the urine, enhancing excretion, particularly for drugs that are not effectively filtered at the glomerulus."
genitourinary,GEN039,A patient with a recent diagnosis of prostate cancer is considering active surveillance. Which of the following factors would make this option appropriate?,Gleason score > 8,High PSA levels,Rapid cancer progression,"Early-stage, low-grade tumor",Presence of bone metastases,"Early-stage, low-grade tumor","Active surveillance is an option for prostate cancer patients with early-stage, low-grade tumors that are slow-growing, as it avoids immediate treatment side effects."
pain,PAI061,A patient with chronic pain is considering acupuncture. How does acupuncture help in pain management?,Increases heart rate,Reduces blood pressure,Stimulates endorphin release,Inhibits serotonin,Increases cortisol production,Stimulates endorphin release,"Acupuncture can help alleviate pain by stimulating the release of endorphins, the body's natural painkillers, through the activation of certain points."
pain,PAI008,Which non-pharmacological therapy is commonly recommended as an adjunct for chronic low back pain?,Steroid injections,Acupuncture,NSAIDs,Opioids,Antidepressants,Acupuncture,"Acupuncture can provide pain relief by stimulating certain points in the body, releasing endorphins, and promoting relaxation, and is often recommended for chronic pain management."
analgesics,ANA023,A patient with chronic headache is advised to use non-pharmacological treatments. Which of the following is an effective non-drug treatment for headache management?,Acupuncture,Increased caffeine intake,Napping during the day,High-protein diet,Increased screen time,Acupuncture,Acupuncture has been shown to be effective in managing chronic headaches and can be used alongside pharmacological treatments.
ophthalmology,OPH115,What is the primary treatment goal in acute angle-closure glaucoma?,Increase tear production,Restore central vision,Reduce intraocular pressure immediately,Reduce eye redness,Increase visual acuity,Reduce intraocular pressure immediately,Acute angle-closure glaucoma is an emergency; reducing intraocular pressure quickly prevents optic nerve damage.
ophthalmology,OPH046,What is the primary treatment for a patient with acute angle-closure glaucoma?,Antibiotics,NSAIDs,Timolol eye drops,Immediate surgical intervention,Antihistamines,Immediate surgical intervention,Acute angle-closure glaucoma requires urgent surgical intervention to relieve the elevated intraocular pressure.
ophthalmology,OPH065,Which symptom is most indicative of acute angle-closure glaucoma?,Gradual vision loss,Mild eye redness,Painless vision changes,Severe eye pain,Excessive tearing,Severe eye pain,Acute angle-closure glaucoma typically presents with severe eye pain and blurred vision due to a sudden increase in intraocular pressure.
respiratory,RPS111,What is the characteristic symptom of acute bronchitis?,Wheezing,Productive cough,Chronic dry cough,Chest tightness,Decreased lung volumes,Productive cough,Acute bronchitis typically presents with a productive cough
respire,REC099,Which type of cough is characterized by its sudden onset?,Chronic cough,Persistent cough,Acute cough,Allergic cough,Acute cough,Acute cough,Acute cough is characterized by its sudden onset and is often related to infections or irritants.
minerals,MIN107,Which type of diarrhea is characterized by loose,watery stools?,Chronic diarrhea,Acute diarrhea,Osmotic diarrhea,Secretory diarrhea,Acute diarrhea,"Acute diarrhea is typically characterized by loose watery stools and may be short-lived."""
pain,PAN107,Which type of diarrhea is characterized by loose,watery stools?,Chronic diarrhea,Acute diarrhea,Osmotic diarrhea,Secretory diarrhea,Acute diarrhea,"Acute diarrhea is typically characterized by loose watery stools and may be short-lived."""
urinary,URP038,What is a characteristic of acute urinary retention in BPH?,Gradual onset of symptoms,Immediate need to urinate but unable to,Infrequent urination,Normal urine flow,Immediate need to urinate but unable to,Immediate need to urinate but unable to,Acute urinary retention is characterized by an immediate and painful need to urinate but the inability to do so.
urinary,URP012,What symptom might indicate acute urinary retention due to BPH?,Intermittent urination,Complete inability to urinate,Frequent urination at night,Weak urinary stream,Complete inability to urinate,Complete inability to urinate,"Acute urinary retention is characterized by the complete inability to urinate, requiring immediate medical attention."
respire,REC057,What is the typical duration for acute viral pharyngitis?,1-3 days,3-5 days,5-7 days,More than a week,3-5 days,3-5 days,Acute viral pharyngitis typically lasts for 3-5 days before resolving.
otc,OTC008,A woman seeks advice for treating her recurrent cold sores. Which OTC product is MOST suitable?,Acyclovir 5% cream,Hydrocortisone cream 1%,Miconazole cream,Chloramphenicol eye ointment,Zinc oxide cream,Acyclovir 5% cream,Acyclovir cream is an antiviral medication effective in treating cold sores caused by the herpes simplex virus. It should be applied at the first sign of an outbreak. Hydrocortisone and miconazole are not appropriate for viral infections.
rx,USE064,A patient asks for an OTC remedy for cold sores that have just appeared. Which product is suitable?,Hydrocortisone cream,Acyclovir cream,Antibacterial ointment,Antifungal cream,Zinc oxide paste,Acyclovir cream,Acyclovir cream is effective in treating cold sores (herpes simplex virus) when applied early. Hydrocortisone and antibacterial ointments are not appropriate.
otc,OTC061,A customer asks for advice on treating her cold sore that started developing today. What is the MOST effective OTC treatment?,Apply hydrocortisone cream,Apply acyclovir cream at the earliest sign,Use tea tree oil,Apply antibiotic ointment,Use lip balm only,Apply acyclovir cream at the earliest sign,"Acyclovir cream is effective in treating cold sores, especially when applied at the first sign (tingling or itching). It inhibits viral replication."
sex,SEX103,A patient with genital herpes can reduce outbreaks with which medication?,Metronidazole,Fluconazole,Acyclovir,Ibuprofen,Clindamycin,Acyclovir,Acyclovir helps manage genital herpes by reducing the severity and frequency of outbreaks.
antimicrobial,AMA058,Which antiviral is a nucleoside analog used to treat herpes simplex virus infections by incorporating into viral DNA and causing chain termination?,Oseltamivir,Acyclovir,Lamivudine,Ritonavir,Ganciclovir,Acyclovir,"Acyclovir is a nucleoside analog that incorporates into viral DNA during replication, causing chain termination and effectively treating herpes simplex virus infections."
sex,SEX014,A patient is diagnosed with genital herpes. Which medication is commonly used to reduce the frequency of outbreaks?,Doxycycline,Metronidazole,Acyclovir,Fluconazole,Azithromycin,Acyclovir,Acyclovir is an antiviral medication used to treat and reduce the frequency of herpes simplex virus outbreaks. It works by inhibiting viral replication.
adverse,ADV155,A patient on acyclovir reports dizziness and confusion. What patient factor contributes to this adverse effect?,Age,Renal impairment,Liver disease,Concurrent NSAID use,Hypertension,Renal impairment,"Acyclovir is primarily excreted by the kidneys. In renal impairment, drug accumulation can lead to neurotoxicity presenting as dizziness, confusion, and seizures."
antimicrobial,AMA054,Which antiviral agent is primarily used for the treatment of varicella-zoster virus (VZV) infections?,Oseltamivir,Acyclovir,Lamivudine,Ritonavir,Ganciclovir,Acyclovir,"Acyclovir is the antiviral agent of choice for treating varicella-zoster virus (VZV) infections, including chickenpox and shingles, by inhibiting viral DNA polymerase."
antimicrobial,AMA008,Which antiviral medication is used for prophylaxis and treatment of herpes simplex virus (HSV) infections?,Oseltamivir,Acyclovir,Ribavirin,Lamivudine,Ganciclovir,Acyclovir,"Acyclovir is the antiviral drug of choice for both prophylaxis and treatment of HSV infections. It selectively inhibits viral DNA polymerase, reducing viral replication."
infectious,INF033,A patient is diagnosed with herpes simplex virus (HSV) encephalitis. Which antiviral is used as the first-line treatment?,Valacyclovir,Acyclovir,Ganciclovir,Oseltamivir,Ribavirin,Acyclovir,"Acyclovir is the first-line treatment for HSV encephalitis as it effectively targets HSV, reducing mortality and neurological complications."
antimicrobial,AMA078,Which antiviral is used for post-exposure prophylaxis of varicella-zoster virus (VZV) in immunocompromised individuals?,Oseltamivir,Acyclovir,Ritonavir,Lamivudine,Ganciclovir,Acyclovir,Acyclovir is used for post-exposure prophylaxis of VZV in immunocompromised individuals by inhibiting viral DNA polymerase and reducing viral replication.
antimicrobial,AMA090,Which antiviral agent is used for post-exposure prophylaxis of varicella-zoster virus (VZV) in immunocompromised individuals?,Oseltamivir,Acyclovir,Ritonavir,Lamivudine,Ganciclovir,Acyclovir,Acyclovir is used for post-exposure prophylaxis of VZV in immunocompromised individuals by inhibiting viral DNA polymerase and reducing viral replication.
antimicrobial,AMA026,Which antiviral is used both for the treatment of herpes zoster and for post-exposure prophylaxis of varicella in susceptible individuals?,Oseltamivir,Acyclovir,Lamivudine,Ritonavir,Ganciclovir,Acyclovir,Acyclovir is used to treat herpes zoster and for post-exposure prophylaxis of varicella in susceptible individuals by inhibiting viral DNA replication.
